request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
18,PreferredOperatorRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:t_wait:281.05422754900474;t_drive:230.30021679086167;fare:216;willing:True|1:t_wait:69.14051613573406;t_drive:230.30021679086167;fare:216;willing:True,,,1,3,1569.1405161357343,1829.4407329265957,216,0
22,PreferredOperatorRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:125.04318021931022;t_drive:159.65668328940978;fare:109;willing:True|1:t_wait:223.41854752939412;t_drive:159.65668328940978;fare:109;willing:True,,,0,1,1745.0431802193098,1904.6998635087193,109,0
24,PreferredOperatorRequest,1,1680,1680,2969;-1;-1,2977;-1;-1,,,,,256.65680684883455,2203.346162362212,0:t_wait:0;t_drive:286.65680684883455;fare:220;willing:True|1:t_wait:179.4703971540573;t_drive:286.6568068488343;fare:220;willing:True,,,0,3,1680.0,1966.6568068488348,220,0
23,PreferredOperatorRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:91.2954359457433;t_drive:167.56405431369126;fare:153;willing:True|1:t_wait:72.87952592442389;t_drive:167.56405431369103;fare:153;willing:True,,,1,4,1752.8795259244243,1920.4435802381156,153,0
25,PreferredOperatorRequest,1,1680,1680,2990;-1;-1,2982;-1;-1,,,,,224.7451087756582,1872.8759064638184,0:t_wait:214.81811473306175;t_drive:254.7451087756583;fare:187;willing:True|1:t_wait:162.73401998492045;t_drive:254.74510877565808;fare:187;willing:True,,,1,1,1842.7340199849205,2097.4791287605785,187,0
27,PreferredOperatorRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:t_wait:173.9368039021988;t_drive:135.16881497004488;fare:104;willing:True|1:t_wait:46.719481169137;t_drive:105.16881497004533;fare:104;willing:True,,,1,4,2086.7194811691365,2191.8882961391823,104,0
26,PreferredOperatorRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.2347909545251,0:t_wait:173.580009923518;t_drive:86.7529049487257;fare:100;willing:True|1:t_wait:46.3626871904562;t_drive:86.7529049487257;fare:100;willing:True,,,0,2,2213.5800099235184,2300.3329148722446,100,0
29,PreferredOperatorRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.616045695707,0:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114;willing:True|1:t_wait:31.55259956779628;t_drive:165.07555748348477;fare:114;willing:True,,,0,4,2191.5525995677963,2356.6281570512815,114,0
30,PreferredOperatorRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:t_wait:111.94455948550967;t_drive:113.358245654455;fare:100;willing:True|1:t_wait:145.97291472782308;t_drive:113.358245654455;fare:100;willing:True,,,0,3,2391.9445594855088,2505.3028051399633,100,0
28,PreferredOperatorRequest,1,2100,2100,2973;-1;-1,2981;-1;-1,,,,,178.24268845651838,1853.8591110857842,0:t_wait:166.9536687924483;t_drive:208.2426884565184;fare:185;willing:True|1:t_wait:166.9536687924483;t_drive:208.2426884565184;fare:185;willing:True,,,1,3,2266.953668792448,2475.1963572489676,185,0
32,PreferredOperatorRequest,1,2400,2400,2981;-1;-1,2969;-1;-1,,,,,173.93680390219876,2279.3367272297323,0:t_wait:68.97806069802527;t_drive:203.9368039021988;fare:227;willing:True|1:t_wait:31.55259956779628;t_drive:203.9368039021988;fare:227;willing:True,,,0,0,2468.9780606980253,2672.914864600224,227,0
34,PreferredOperatorRequest,1,2520,2520,2990;-1;-1,2970;-1;-1,,,,,11.053039959097989,92.10866632581656,0:t_wait:143.42882386081783;t_drive:41.05303995909799;fare:100;willing:True|1:t_wait:214.81811473306198;t_drive:41.05303995909799;fare:100;willing:True,,,0,2,2663.428823860818,2704.4818638199163,100,0
31,PreferredOperatorRequest,1,2340,2340,2989;-1;-1,2978;-1;-1,,,,,246.70419219894586,2555.4246683245487,0:t_wait:193.31525508792765;t_drive:276.70419219894575;fare:255;willing:True|1:t_wait:193.31525508792765;t_drive:276.70419219894575;fare:255;willing:True,,,1,4,2533.3152550879277,2810.0194472868748,255,0
33,PreferredOperatorRequest,1,2460,2460,2992;-1;-1,2986;-1;-1,,,,,282.5871709173432,3048.067151629767,0:t_wait:34.4039244469559;t_drive:312.5871709173434;fare:304;willing:True|1:t_wait:211.5927840298532;t_drive:312.587170917343;fare:304;willing:True,,,1,0,2671.592784029854,2984.179954947197,304,0
