request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
147715,BasicRequest,1,29040.0,29040.0,5384;-1;-1,5341;-1;-1,,,,,62.500079889999995,520.834,0:,,,,,,,,0
146853,BasicRequest,1,29040.0,29040.0,22026;-1;-1,21842;-1;-1,,,,,80.74787989000001,672.8989999999999,0:,,,,,,,,0
144517,BasicRequest,1,29040.0,29040.0,7145;-1;-1,22400;-1;-1,,,,,174.0658456042857,2350.399,0:,,,,,,,,0
143226,BasicRequest,1,29040.0,29040.0,7218;-1;-1,22402;-1;-1,,,,,204.65857360428572,2955.0560000000005,0:,,,,,,,,0
143757,BasicRequest,1,29040.0,29040.0,6968;-1;-1,6867;-1;-1,,,,,180.03083988999998,1916.3330000000005,0:,,,,,,,,0
147797,BasicRequest,1,29040.0,29040.0,6776;-1;-1,6842;-1;-1,,,,,48.35426389,439.515,0:,,,,,,,,0
145270,BasicRequest,1,29040.0,29040.0,14262;-1;-1,21795;-1;-1,,,,,246.04891189000003,2621.392,0:,,,,,,,,0
145469,BasicRequest,1,29040.0,29040.0,10370;-1;-1,6667;-1;-1,,,,,62.33791189,531.683,0:,,,,,,,,0
148010,BasicRequest,1,29040.0,29040.0,23052;-1;-1,1166;-1;-1,,,,,116.19011989,968.2510000000001,0:,,,,,,,,0
143521,BasicRequest,1,29040.0,29040.0,7085;-1;-1,6904;-1;-1,,,,,8.73491989,72.791,0:,,,,,,,,0
143460,BasicRequest,1,29040.0,29040.0,23036;-1;-1,21807;-1;-1,,,,,51.33839989,427.81999999999994,0:,,,,,,,,0
143892,BasicRequest,1,29040.0,29040.0,7590;-1;-1,21793;-1;-1,,,,,152.31011989,1269.2510000000002,0:,,,,,,,,0
143390,BasicRequest,1,29040.0,29040.0,14276;-1;-1,14289;-1;-1,,,,,18.93448789,245.01100000000002,0:,,,,,,,,0
144804,BasicRequest,1,29040.0,29040.0,7009;-1;-1,7454;-1;-1,,,,,127.56494389000001,1444.442,0:,,,,,,,,0
146825,BasicRequest,1,29040.0,29040.0,22368;-1;-1,6769;-1;-1,,,,,95.96829589000001,820.749,0:,,,,,,,,0
145523,BasicRequest,1,29040.0,29040.0,23406;-1;-1,6961;-1;-1,,,,,95.76760789,1049.3690000000001,0:,,,,,,,,0
147075,BasicRequest,1,29040.0,29040.0,17168;-1;-1,5384;-1;-1,,,,,11.813279889999999,98.44399999999999,0:,,,,,,,,0
143756,BasicRequest,1,29040.0,29040.0,21861;-1;-1,7201;-1;-1,,,,,116.81074274714285,1141.62,0:,,,,,,,,0
145326,BasicRequest,1,29040.0,29040.0,6705;-1;-1,3829;-1;-1,,,,,205.8465496042857,2665.993,0:,,,,,,,,0
