request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
37,BrokerDecisionRequest,1,2760,2760,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670157,0:t_wait:64.98576269216028;t_drive:138.4539165504193;fare:95;add_fleet_vmt:589.6859999999997;chosen_by_broker:False|1:t_wait:17.979029655409704;t_drive:138.4539165504193;fare:95;add_fleet_vmt:0.0;chosen_by_broker:True,,,1,1,2777.97902965541,2916.4329462058304,95,0
35,BrokerDecisionRequest,1,2580,2580,2990;-1;-1,2988;-1;-1,,,,,136.17123910667578,1181.7688504120974,0:t_wait:216.96869144371522;t_drive:166.17123910667578;fare:118;add_fleet_vmt:3012.827679109726;chosen_by_broker:False|1:t_wait:156.92598969631308;t_drive:196.17123910667578;fare:118;add_fleet_vmt:1089.6601840862809;chosen_by_broker:True,,,1,1,2736.9259896963117,2949.0956973744173,118,0
33,BrokerDecisionRequest,1,2460,2460,2992;-1;-1,2986;-1;-1,,,,,282.5871709173432,3048.067151629767,0:t_wait:228.21491131919993;t_drive:312.5871709173434;fare:304;add_fleet_vmt:3801.929754643669;chosen_by_broker:True|1:t_wait:259.45692662928377;t_drive:312.5871709173434;fare:304;add_fleet_vmt:5737.953156741525;chosen_by_broker:False,,,0,2,2688.2149113192004,3000.8020822365434,304,0
41,BrokerDecisionRequest,1,3000,3000,2977;-1;-1,2982;-1;-1,,,,,83.40450190054383,577.1723729807225,0:t_wait:0;t_drive:113.40450190054389;fare:57;add_fleet_vmt:577.1723729807225;chosen_by_broker:True|1:t_wait:79.67189809945603;t_drive:113.40450190054389;fare:57;add_fleet_vmt:1129.798;chosen_by_broker:False,,,0,4,3000,3113.404501900545,57,0
36,BrokerDecisionRequest,1,2700,2700,2972;-1;-1,2985;-1;-1,,,,,147.11132383387394,1272.6774024545982,0:t_wait:212.52741592011716;t_drive:177.11132383387394;fare:127;add_fleet_vmt:3548.837064264334;chosen_by_broker:False|1:t_wait:216.432946205829;t_drive:212.75813983387388;fare:127;add_fleet_vmt:1218.3727473353333;chosen_by_broker:True,,,1,1,2916.4329462058304,3129.1910860397034,127,0
42,BrokerDecisionRequest,1,3060,3060,2986;-1;-1,2970;-1;-1,,,,,208.5752713127597,2037.3895405612639,0:t_wait:0;t_drive:238.57527131275947;fare:203;add_fleet_vmt:2037.3895405612639;chosen_by_broker:True|1:t_wait:119.90012405693733;t_drive:238.57527131275992;fare:203;add_fleet_vmt:2325.015068578386;chosen_by_broker:False,,,0,2,3060,3298.5752713127613,203,0
40,BrokerDecisionRequest,1,2940,2940,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:t_wait:216.96869144371522;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4442.7874725887805;chosen_by_broker:True|1:t_wait:224.8661605739444;t_drive:237.20330926693805;fare:261;add_fleet_vmt:4485.613315340688;chosen_by_broker:False,,,0,0,3156.9686914437148,3394.172000710654,261,0
38,BrokerDecisionRequest,1,2880,2880,2993;-1;-1,2972;-1;-1,,,,,192.06001237033513,2183.785505143543,0:t_wait:232.4834915828974;t_drive:222.06001237033524;fare:218;add_fleet_vmt:5264.32302399046;chosen_by_broker:False|1:t_wait:280.34763418232797;t_drive:222.06001237033524;fare:218;add_fleet_vmt:5163.820226269805;chosen_by_broker:True,,,1,3,3163.6171573887596,3385.6771697590943,218,0
43,BrokerDecisionRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:t_wait:200.9820240347617;t_drive:219.79905861563566;fare:192;add_fleet_vmt:4035.167422086645;chosen_by_broker:False|1:t_wait:174.90923336387596;t_drive:219.79905861563566;fare:192;add_fleet_vmt:2978.816730803033;chosen_by_broker:True,,,1,1,3234.909233363875,3454.7082919795116,192,0
44,BrokerDecisionRequest,1,3060,3060,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:t_wait:268.2367397294547;t_drive:250.37879558062923;fare:296;add_fleet_vmt:5773.464674868124;chosen_by_broker:False|1:t_wait:146.4742551580257;t_drive:250.37879558062923;fare:296;add_fleet_vmt:345.95200000000114;chosen_by_broker:True,,,1,2,3206.474255158027,3456.8530507386567,296,0
39,BrokerDecisionRequest,1,2880,2880,2992;-1;-1,2982;-1;-1,,,,,275.1492641895202,3428.366932329032,0:t_wait:211.5927840298532;t_drive:305.1492641895202;fare:342;add_fleet_vmt:6218.755735161445;chosen_by_broker:False|1:t_wait:262.7264498357149;t_drive:305.1492641895202;fare:342;add_fleet_vmt:6077.115216876959;chosen_by_broker:True,,,1,2,3139.456926629284,3539.7678022473774,342,0
46,BrokerDecisionRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:t_wait:88.04621968905076;t_drive:155.9438643409526;fare:141;add_fleet_vmt:2092.9249357992708;chosen_by_broker:False|1:t_wait:58.046219689050304;t_drive:155.9438643409526;fare:141;add_fleet_vmt:392.2779999999998;chosen_by_broker:True,,,1,4,3418.04621968905,3573.9900840300024,141,0
47,BrokerDecisionRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046634,1654.6552573063896,0:t_wait:68.99396089382708;t_drive:216.57127949046617;fare:165;add_fleet_vmt:2229.6049314216134;chosen_by_broker:True|1:t_wait:89.28571634340778;t_drive:216.57127949046617;fare:165;add_fleet_vmt:2467.1684024545975;chosen_by_broker:False,,,0,2,3488.9939608938275,3705.5652403842937,165,0
49,BrokerDecisionRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862693,122.87211071552242,0:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:12;add_fleet_vmt:518.7496270192777;chosen_by_broker:False|1:t_wait:47.505301956450694;t_drive:44.74465328586257;fare:12;add_fleet_vmt:518.7496270192777;chosen_by_broker:True,,,1,2,3647.5053019564502,3692.249955242313,12,0
